Antibody,Virus,Reference,Pubmed ID,IC50,IC80,ID50
10E8-0fH/4fL,Q23_17,Georgiev et al. J Immunol 192:1100 (2014),24391217,2.16,,
10E8-0fH/4fL,Q769_H5,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.04,,
10E8-0fH/4fL,THRO4156,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.086,,
10E8-0fH/4fL,TRJO4551_58,Georgiev et al. J Immunol 192:1100 (2014),24391217,4.43,,
10E8-0fH/4fL,TRO_11,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.102,,
10E8-0fH/4fL,YU2,Georgiev et al. J Immunol 192:1100 (2014),24391217,4.62,,
10E8-0fH/4fL,ZA012_29,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.83,,
10E8-0fH/4fL,ZM106_9,Georgiev et al. J Immunol 192:1100 (2014),24391217,>50,,
10E8-0fH/4fL,ZM55_28A,Georgiev et al. J Immunol 192:1100 (2014),24391217,8.88,,
10E8-10fH/10fL,6101_1,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.02,,
10E8-10fH/10fL,92RW020_2,Georgiev et al. J Immunol 192:1100 (2014),24391217,2.51,,
10E8-10fH/10fL,BAL_01,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.848,,
10E8-10fH/10fL,BG1168_1,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.525,,
10E8-10fH/10fL,CAAN5342,Georgiev et al. J Immunol 192:1100 (2014),24391217,4.73,,
10E8-10fH/10fL,DU156_12,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.043,,
10E8-10fH/10fL,DU422_1,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.288,,
10E8-10fH/10fL,JRCSF,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.759,,
10E8-10fH/10fL,JRFL,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.658,,
10E8-10fH/10fL,KER2018_11,Georgiev et al. J Immunol 192:1100 (2014),24391217,5.56,,
10E8-10fH/10fL,PVO_4,Georgiev et al. J Immunol 192:1100 (2014),24391217,2.51,,
10E8-10fH/10fL,Q168_A2,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.56,,
10E8-10fH/10fL,Q23_17,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.35,,
10E8-10fH/10fL,Q769_H5,Georgiev et al. J Immunol 192:1100 (2014),24391217,5.31,,
10E8-10fH/10fL,THRO4156,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.14,,
10E8-10fH/10fL,TRJO4551_58,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.13,,
10E8-10fH/10fL,TRO_11,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.066,,
