Antibody,Virus,Reference,Pubmed ID,IC50,IC80,ID50,Type
10-1074,191955_A11,Mouquet et al. PNAS USA 109:E3268 (2012a),23115339,>50,>50,,V3 glycan-targeting
10-1074,191955_A11,Wagh et al. PLoS Pathog 14:e1006860 (2018),29505593,>50,>50,,V3 glycan-targeting
10-1074,191955_A11,Wang et al. eLife 9:e61991 (2020),33084569,>10,,,V3 glycan-targeting
10-1074,19252094_A5_G2,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,0.033,,,V3 glycan-targeting
10-1074,19252094_A5_G2,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,0.033,0.12,,V3 glycan-targeting
10-1074,19314479_A2_5,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,>20,,,V3 glycan-targeting
10-1074,19314479_A2_5,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,>20,>20,,V3 glycan-targeting
10-1074,19707346_E8_C6,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,>20,,,V3 glycan-targeting
10-1074,19707346_E8_C6,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,>20,>20,,V3 glycan-targeting
10-1074,19715820_A10_H2,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,0.095,,,V3 glycan-targeting
10-1074,19715820_A10_H2,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,0.095,0.242,,V3 glycan-targeting
10-1074,1HB1_D0_012016_B4_S3,Caskey et al. Nat Med. 23:2 (2017),28092665,0.005,0.024,,V3 glycan-targeting
10-1074,1HB1_D0_012016_C7_S6,Caskey et al. Nat Med. 23:2 (2017),28092665,0.002,0.015,,V3 glycan-targeting
10-1074,1HB1_D0_012016_F10_S11,Caskey et al. Nat Med. 23:2 (2017),28092665,0.008,0.037,,V3 glycan-targeting
10-1074,1HB1_D0_012216_B2_S21,Caskey et al. Nat Med. 23:2 (2017),28092665,0.008,0.033,,V3 glycan-targeting
10-1074,1HB1_D0_012216_G6_S32,Caskey et al. Nat Med. 23:2 (2017),28092665,0.004,0.014,,V3 glycan-targeting
10-1074,1HB1_W4_012016_D10_S47,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HB1_W4_020416_A6_S52,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HB1_W4_020416_B2_S54,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HB1_W4_020416_D3_S58,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HB1_W4_020416_H6_S65,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HB2_D0_102315_C3_S1,Caskey et al. Nat Med. 23:2 (2017),28092665,0.014,0.029,,V3 glycan-targeting
10-1074,1HB2_D0_102315_C7_S2,Caskey et al. Nat Med. 23:2 (2017),28092665,0.009,0.026,,V3 glycan-targeting
10-1074,1HB2_D0_102615_B11_S13,Caskey et al. Nat Med. 23:2 (2017),28092665,0.007,0.03,,V3 glycan-targeting
10-1074,1HB2_D0_102615_C8_S18,Caskey et al. Nat Med. 23:2 (2017),28092665,0.012,0.024,,V3 glycan-targeting
10-1074,1HB2_D0_102615_E9_S22,Caskey et al. Nat Med. 23:2 (2017),28092665,0.013,0.026,,V3 glycan-targeting
10-1074,1HB2_W4_103015_A11_S74,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HB2_W4_103015_C9_S80,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HB2_W4_103015_D11_S85,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HB2_W4_103015_D7_S84,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HB2_W4_103015_F1_S87,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HB2_W4_103015_F2_S88,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HB3_D0_102315_G10_S34,Caskey et al. Nat Med. 23:2 (2017),28092665,0.041,0.115,,V3 glycan-targeting
10-1074,1HB3_D0_102915_B2_S49,Caskey et al. Nat Med. 23:2 (2017),28092665,0.011,0.048,,V3 glycan-targeting
10-1074,1HB3_D0_102915_B6_S51,Caskey et al. Nat Med. 23:2 (2017),28092665,0.032,0.16,,V3 glycan-targeting
10-1074,1HB3_D0_102915_C7_S56,Caskey et al. Nat Med. 23:2 (2017),28092665,0.028,0.098,,V3 glycan-targeting
10-1074,1HB3_W4_102815_F7_S45,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HB3_W4_110215_C10_S52E,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HB3_W4_110215_C7_S50E,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HB3_W4_110215_G3_S63,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HB3_W4_110215_H3_S67,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HC1_D0_061516_A1_S68,Caskey et al. Nat Med. 23:2 (2017),28092665,0.305,1.104,,V3 glycan-targeting
10-1074,1HC1_D0_061516_B5_S69,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HC1_D0_061516_C4_S70,Caskey et al. Nat Med. 23:2 (2017),28092665,0.286,1.371,,V3 glycan-targeting
10-1074,1HC1_D0_061616_G4_S15,Caskey et al. Nat Med. 23:2 (2017),28092665,0.337,1.179,,V3 glycan-targeting
10-1074,1HC1_D0_070516_F10_S90,Caskey et al. Nat Med. 23:2 (2017),28092665,0.242,0.797,,V3 glycan-targeting
10-1074,1HC1_D0_070516_F11_S91,Caskey et al. Nat Med. 23:2 (2017),28092665,0.878,10.007,,V3 glycan-targeting
10-1074,1HC1_W4_070116_B8_S30,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HC1_W4_070516PL2_B4_S96,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HC1_W4_070516PL2_G5_S11,Caskey et al. Nat Med. 23:2 (2017),28092665,0.557,1.498,,V3 glycan-targeting
10-1074,1HC1_W4_070516PL3_A3_S14,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HC1_W4_071216_D3_S66,Caskey et al. Nat Med. 23:2 (2017),28092665,0.446,1.481,,V3 glycan-targeting
10-1074,1HC1_W4_071216_F7_S69,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HC2_D0_012016_A5_S39,Caskey et al. Nat Med. 23:2 (2017),28092665,0.104,0.494,,V3 glycan-targeting
10-1074,1HC2_D0_012016_F5_S52,Caskey et al. Nat Med. 23:2 (2017),28092665,0.1,0.257,,V3 glycan-targeting
10-1074,1HC2_D0_012216_C11_S66,Caskey et al. Nat Med. 23:2 (2017),28092665,0.023,0.068,,V3 glycan-targeting
10-1074,1HC2_D0_012216_D1_S67,Caskey et al. Nat Med. 23:2 (2017),28092665,0.037,0.09,,V3 glycan-targeting
10-1074,1HC2_D0_012216_F9_S75,Caskey et al. Nat Med. 23:2 (2017),28092665,0.029,0.09,,V3 glycan-targeting
10-1074,1HC2_D0_012216_H10_S82,Caskey et al. Nat Med. 23:2 (2017),28092665,0.032,0.109,,V3 glycan-targeting
10-1074,1HC2_W4_012016_F6_S83,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HC2_W4_012016_H12_S93,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HC2_W4_012216_A10_S1,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HC2_W4_012216_A6_S95,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HC2_W4_012216_E4_S9,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HC2_W4_012216_G5_S14,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HC3_D0_012016_F7_S31,Caskey et al. Nat Med. 23:2 (2017),28092665,0.15,0.531,,V3 glycan-targeting
10-1074,1HC3_D0_012016_G2_S34,Caskey et al. Nat Med. 23:2 (2017),28092665,0.243,0.836,,V3 glycan-targeting
10-1074,1HC3_D0_012216_B1_S40,Caskey et al. Nat Med. 23:2 (2017),28092665,0.148,0.514,,V3 glycan-targeting
10-1074,1HC3_D0_012216_E10_S49,Caskey et al. Nat Med. 23:2 (2017),28092665,0.203,0.704,,V3 glycan-targeting
10-1074,1HC3_D0_012216_G3_S52,Caskey et al. Nat Med. 23:2 (2017),28092665,0.284,0.946,,V3 glycan-targeting
10-1074,1HC3_W4_012016_G1_S19,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HC3_W4_012016_H5_S21,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HC3_W4_012616_C7_S77,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HC3_W4_012616_F1_S85,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HC3_W4_012616_G4_S89,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD1_D0_012016_A4_S67,Caskey et al. Nat Med. 23:2 (2017),28092665,0.019,0.102,,V3 glycan-targeting
10-1074,1HD1_D0_012016_D6_S73,Caskey et al. Nat Med. 23:2 (2017),28092665,0.008,0.038,,V3 glycan-targeting
10-1074,1HD1_D0_012016_H4_S83,Caskey et al. Nat Med. 23:2 (2017),28092665,0.008,0.029,,V3 glycan-targeting
10-1074,1HD1_D0_012716_B1_S14,Caskey et al. Nat Med. 23:2 (2017),28092665,0.014,0.066,,V3 glycan-targeting
10-1074,1HD1_D0_012716_B7_S16,Caskey et al. Nat Med. 23:2 (2017),28092665,0.014,0.046,,V3 glycan-targeting
10-1074,1HD1_W4_012016_C11_S93,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD1_W4_012016_C12_S94,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD1_W4_012616_A6_S94,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD1_W4_012616_D9_S6,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD1_W4_012616_F9_S11,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD2_PREINF_051916_A12_S61,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD2_PREINF_051916_B4_S62,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD2_PREINF_051916_D8_S66,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD2_PREINF_051916_H4_S73,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD4K_D0_061516_E3_S53,Caskey et al. Nat Med. 23:2 (2017),28092665,0.006,0.021,,V3 glycan-targeting
10-1074,1HD4K_D0_061516_F7_S57,Caskey et al. Nat Med. 23:2 (2017),28092665,0.006,0.025,,V3 glycan-targeting
10-1074,1HD4K_D0_061616PL1_D4_S83,Caskey et al. Nat Med. 23:2 (2017),28092665,0.006,0.027,,V3 glycan-targeting
10-1074,1HD4K_D0_061616PL2_A4_S53,Caskey et al. Nat Med. 23:2 (2017),28092665,0.005,0.017,,V3 glycan-targeting
10-1074,1HD4K_D0_061616PL2_C2_S57,Caskey et al. Nat Med. 23:2 (2017),28092665,0.009,0.027,,V3 glycan-targeting
10-1074,1HD4K_W4_062316PL3_A3_S25,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD4K_W4_062316PL3_B1_S27,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD4K_W4_062316PL3_B9_S29,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD4K_W4_062316PL4_A11_S47,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD4K_W4_062316PL4_A3_S44,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD5K_D0_061016_C5_S3,Caskey et al. Nat Med. 23:2 (2017),28092665,0.054,0.162,,V3 glycan-targeting
10-1074,1HD5K_D0_061416PL1_F1_S17,Caskey et al. Nat Med. 23:2 (2017),28092665,0.054,0.159,,V3 glycan-targeting
10-1074,1HD5K_D0_061416PL2_D11_S27,Caskey et al. Nat Med. 23:2 (2017),28092665,0.037,0.13,,V3 glycan-targeting
10-1074,1HD5K_D0_061416PL2_D12_S28,Caskey et al. Nat Med. 23:2 (2017),28092665,0.054,0.191,,V3 glycan-targeting
10-1074,1HD5K_D0_061616_F6_S42,Caskey et al. Nat Med. 23:2 (2017),28092665,0.046,0.123,,V3 glycan-targeting
10-1074,1HD5K_W4_061416_A6_S32E,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD5K_W4_061616_A12_S44,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD5K_W4_061616_C11_S49,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD5K_W4_061616_C12_S50,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD5K_W4_062316_D10_S59,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD5K_W4_062916_A6_S61,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD6K_D0_061016_B3_S9,Caskey et al. Nat Med. 23:2 (2017),28092665,0.025,0.097,,V3 glycan-targeting
10-1074,1HD6K_D0_061416_F12_S50,Caskey et al. Nat Med. 23:2 (2017),28092665,0.053,0.187,,V3 glycan-targeting
10-1074,1HD6K_D0_061616_C10_S24,Caskey et al. Nat Med. 23:2 (2017),28092665,0.032,0.117,,V3 glycan-targeting
10-1074,1HD6K_D0_061616_C6_S21,Caskey et al. Nat Med. 23:2 (2017),28092665,0.026,0.096,,V3 glycan-targeting
10-1074,1HD6K_W4_070516_G5_S26,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD6K_W8_072616_D6_S65,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD6K_W8_072616_F2_S69,Caskey et al. Nat Med. 23:2 (2017),28092665,0.044,0.13,,V3 glycan-targeting
10-1074,1HD6K_W8_072616_G10_S70,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD8K_D0_061616_B4_S93,Caskey et al. Nat Med. 23:2 (2017),28092665,0.001,0.006,,V3 glycan-targeting
10-1074,1HD8K_D0_062916_A4_S69,Caskey et al. Nat Med. 23:2 (2017),28092665,0.007,0.024,,V3 glycan-targeting
10-1074,1HD8K_D0_062916_A9_S72,Caskey et al. Nat Med. 23:2 (2017),28092665,0.002,0.016,,V3 glycan-targeting
10-1074,1HD8K_D0_062916_F6_S90,Caskey et al. Nat Med. 23:2 (2017),28092665,0.057,0.155,,V3 glycan-targeting
10-1074,1HD8K_D0_062916_H6_S95,Caskey et al. Nat Med. 23:2 (2017),28092665,0.001,0.007,,V3 glycan-targeting
10-1074,1HD8K_W4_070116PL3_C6_S63,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD8K_W4_070116PL3_G12_S77,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD8K_W4_070116PL3_H8_S80,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD8K_W4_070116PL4_E1_S86,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD8K_W4_070116PL4_E9_S87,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD8K_W4_070116PL4_F7_S89,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD9K_D0_070816_B3_S30,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD9K_D0_070816_C3_S35,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,1HD9K_D0_071116PL6_A10_S86,Caskey et al. Nat Med. 23:2 (2017),28092665,>50,>50,,V3 glycan-targeting
10-1074,20104663_E11_D2,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,0.005,,,V3 glycan-targeting
10-1074,20104663_E11_D2,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,0.005,0.013,,V3 glycan-targeting
10-1074,20198102_E9_G1,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,0.196,,,V3 glycan-targeting
10-1074,20198102_E9_G1,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,0.196,0.845,,V3 glycan-targeting
10-1074,20258279_V2,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,0.053,,,V3 glycan-targeting
10-1074,20258279_V2,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,0.053,0.185,,V3 glycan-targeting
10-1074,20286961_C1_H8,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,>20,,,V3 glycan-targeting
10-1074,20286961_C1_H8,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,>20,>20,,V3 glycan-targeting
10-1074,20355851_20,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,>20,,,V3 glycan-targeting
10-1074,20355851_20,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,>20,>20,,V3 glycan-targeting
10-1074,20358510_01,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,8.535,,,V3 glycan-targeting
10-1074,20358510_01,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,8.535,>20,,V3 glycan-targeting
10-1074,20417927_07,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,>20,,,V3 glycan-targeting
10-1074,20417927_07,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,>20,>20,,V3 glycan-targeting
10-1074,20721190,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,0.611,,,V3 glycan-targeting
10-1074,20721190,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,0.611,2.052,,V3 glycan-targeting
10-1074,20803520,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,0.108,,,V3 glycan-targeting
10-1074,20803520,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,0.108,0.467,,V3 glycan-targeting
10-1074,20883229_C9_H6,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,0.006,,,V3 glycan-targeting
10-1074,20883229_C9_H6,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,0.006,0.025,,V3 glycan-targeting
10-1074,20915593,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,0.58,,,V3 glycan-targeting
10-1074,20915593,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,0.58,2.807,,V3 glycan-targeting
10-1074,20927783,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,4.152,,,V3 glycan-targeting
10-1074,20927783,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,4.152,>20,,V3 glycan-targeting
10-1074,20965238,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,>20,,,V3 glycan-targeting
10-1074,20965238,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,>20,>20,,V3 glycan-targeting
10-1074,21020_13,Wagh et al. PLoS Pathog 14:e1006860 (2018),29505593,>50,>50,,V3 glycan-targeting
10-1074,211_9,Bournazos et al. Cell 165:1609 (2016) - dataset 1,27315478,0.203,,,V3 glycan-targeting
10-1074,211_9,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.112,,,V3 glycan-targeting
10-1074,211_9,Freund et al. Sci Transl Med 9:eaal2144 (2017),28100831,0.065,0.403,,V3 glycan-targeting
10-1074,211_9,Kong et al. J Virol 89:2659 (2015) - dataset 2,25520506,0.153,0.566,,V3 glycan-targeting
10-1074,211_9,Mouquet et al. PNAS USA 109:E3268 (2012a),23115339,0.112,0.425,,V3 glycan-targeting
10-1074,21197826_V1,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,0.551,,,V3 glycan-targeting
10-1074,21197826_V1,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,0.551,1.889,,V3 glycan-targeting
10-1074,21203310_G7_C3,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,0.043,,,V3 glycan-targeting
10-1074,21203310_G7_C3,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,0.043,0.271,,V3 glycan-targeting
10-1074,21261106_C12_H2,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,>20,,,V3 glycan-targeting
10-1074,21261106_C12_H2,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,>20,>20,,V3 glycan-targeting
10-1074,21283649,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,>20,,,V3 glycan-targeting
10-1074,21283649,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,>20,>20,,V3 glycan-targeting
10-1074,21369737_G11_F2,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,>20,,,V3 glycan-targeting
10-1074,21369737_G11_F2,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,>20,>20,,V3 glycan-targeting
10-1074,21399975_E2_B3,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,0.925,,,V3 glycan-targeting
10-1074,21399975_E2_B3,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,0.925,17.045,,V3 glycan-targeting
10-1074,21492713_B11_E3,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,0.015,,,V3 glycan-targeting
10-1074,21492713_B11_E3,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,0.015,0.049,,V3 glycan-targeting
10-1074,21502011_F12_E2,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,0.016,,,V3 glycan-targeting
10-1074,21502011_F12_E2,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,0.016,0.075,,V3 glycan-targeting
10-1074,21561324_D3_B5,Bricault et al. Cell Host Microbe 25:59 (2019),30629920,0.004,,,V3 glycan-targeting
10-1074,21561324_D3_B5,Wagh et al. PLoS Pathog 12:e1005520 (2016),27028935,0.004,0.009,,V3 glycan-targeting
10-1074,2305_BL_G1_1,Stephenson et al. Nat Med 7:1718 (2021),34621054,<0.001,0.002,,V3 glycan-targeting
10-1074,2305_BL_G2_1,Stephenson et al. Nat Med 7:1718 (2021),34621054,0.003,0.009,,V3 glycan-targeting
10-1074,2305_BL_H1_3,Stephenson et al. Nat Med 7:1718 (2021),34621054,0.001,0.006,,V3 glycan-targeting
10-1074,2305_BL_H4_3,Stephenson et al. Nat Med 7:1718 (2021),34621054,<0.001,0.004,,V3 glycan-targeting
10-1074,2305_V7_E5_2,Stephenson et al. Nat Med 7:1718 (2021),34621054,>50,>50,,V3 glycan-targeting
10-1074,2305_V7_F1_4,Stephenson et al. Nat Med 7:1718 (2021),34621054,>50,>50,,V3 glycan-targeting
10-1074,2305_V7_G2_2,Stephenson et al. Nat Med 7:1718 (2021),34621054,>50,>50,,V3 glycan-targeting
10-1074,2305_V7_G5_4,Stephenson et al. Nat Med 7:1718 (2021),34621054,>50,>50,,V3 glycan-targeting
10-1074,2305_V7_G6_1,Stephenson et al. Nat Med 7:1718 (2021),34621054,>50,>50,,V3 glycan-targeting
10-1074,2305_V7_G7_1,Stephenson et al. Nat Med 7:1718 (2021),34621054,>50,>50,,V3 glycan-targeting
10-1074,2305_V7_G9_2,Stephenson et al. Nat Med 7:1718 (2021),34621054,>50,>50,,V3 glycan-targeting
10-1074,2305_V7_H11_2,Stephenson et al. Nat Med 7:1718 (2021),34621054,>50,>50,,V3 glycan-targeting
10-1074,2305_V7_H5_1,Stephenson et al. Nat Med 7:1718 (2021),34621054,>50,>50,,V3 glycan-targeting
10-1074,231965_C1,Alam et al. Sci Transl Med 9:eaai7521 (2017) - dataset 1,28298421,10,,,V3 glycan-targeting
10-1074,231965_C1,Bonsignori et al. Sci Transl Med 9:eaai7514 (2017),28298420,10,,,V3 glycan-targeting
10-1074,231965_C1,Bournazos et al. Cell 165:1609 (2016) - dataset 1,27315478,>20,,,V3 glycan-targeting
10-1074,231965_C1,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 1,30629920,10,,,V3 glycan-targeting
10-1074,231965_C1,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,>50,,,V3 glycan-targeting
10-1074,231965_C1,Chuang et al. Structure 27:196 (2019),30471922,>50,>50,,V3 glycan-targeting
10-1074,231965_C1,Freund et al. Sci Transl Med 9:eaal2144 (2017),28100831,>10,>10,,V3 glycan-targeting
10-1074,231965_C1,Huang et al. Immunity 45:1108 (2016a) - dataset 1,27851912,10,,,V3 glycan-targeting
10-1074,231965_C1,Kong et al. J Virol 89:2659 (2015) - dataset 2,25520506,>25,>25,,V3 glycan-targeting
10-1074,231965_C1,Kwon et al. Cell Reports 22:1798 (2018),29444432,10,>50,,V3 glycan-targeting
10-1074,231965_C1,Mouquet et al. PNAS USA 109:E3268 (2012a),23115339,>50,>50,,V3 glycan-targeting
10-1074,231965_C1,Wagh et al. PLoS Pathog 14:e1006860 (2018),29505593,>50,>50,,V3 glycan-targeting
10-1074,231965_C1,Wang et al. eLife 9:e61991 (2020),33084569,10,,,V3 glycan-targeting
10-1074,231966_C2,Bournazos et al. Cell 165:1609 (2016) - dataset 1,27315478,>20,,,V3 glycan-targeting
10-1074,231966_C2,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,>50,,,V3 glycan-targeting
10-1074,231966_C2,Freund et al. Sci Transl Med 9:eaal2144 (2017),28100831,>10,>10,,V3 glycan-targeting
10-1074,231966_C2,Kong et al. J Virol 89:2659 (2015) - dataset 2,25520506,>25,>25,,V3 glycan-targeting
10-1074,231966_C2,Mouquet et al. PNAS USA 109:E3268 (2012a),23115339,>50,>50,,V3 glycan-targeting
10-1074,231966_C2,Wagh et al. PLoS Pathog 14:e1006860 (2018),29505593,>50,>50,,V3 glycan-targeting
10-1074,2319_BL_A3_2,Stephenson et al. Nat Med 7:1718 (2021),34621054,0.023,0.074,,V3 glycan-targeting
10-1074,2319_BL_B1_2,Stephenson et al. Nat Med 7:1718 (2021),34621054,0.01,0.035,,V3 glycan-targeting
