Antibody,Virus,Reference,Pubmed ID,IC50,IC80,ID50
polyclonal 391370,0013095_2_11,Barnes et al. Sci Adv 8:eabp8155 (2022) - dataset 2,35960796,110.50,493.30,
polyclonal 391370,001428_2_42,Barnes et al. Sci Adv 8:eabp8155 (2022) - dataset 2,35960796,36.40,103.70,
polyclonal 391370,231965_C1,Barnes et al. Sci Adv 8:eabp8155 (2022) - dataset 2,35960796,>500,>500,
polyclonal 391370,242_14,Barnes et al. Sci Adv 8:eabp8155 (2022) - dataset 2,35960796,146.40,>500,
polyclonal 391370,247_23,Barnes et al. Sci Adv 8:eabp8155 (2022) - dataset 2,35960796,169.00,461.00,
polyclonal 391370,26191_2_48,Barnes et al. Sci Adv 8:eabp8155 (2022) - dataset 2,35960796,118.90,324.20,
polyclonal 391370,3168_V4_C10,Barnes et al. Sci Adv 8:eabp8155 (2022) - dataset 2,35960796,121.60,329.10,
polyclonal 391370,620345_C1,Barnes et al. Sci Adv 8:eabp8155 (2022) - dataset 2,35960796,>500,>500,
polyclonal 391370,7165_18,Barnes et al. Sci Adv 8:eabp8155 (2022) - dataset 2,35960796,>500,>500,
polyclonal 391370,BG505_W6M_C2_T332N,Barnes et al. Sci Adv 8:eabp8155 (2022) - dataset 2,35960796,28.90,81.20,
polyclonal 391370,CH038_12,Barnes et al. Sci Adv 8:eabp8155 (2022) - dataset 2,35960796,>500,>500,
polyclonal 391370,CH070_1,Barnes et al. Sci Adv 8:eabp8155 (2022) - dataset 2,35960796,>500,>500,
polyclonal 391370,CNE5,Barnes et al. Sci Adv 8:eabp8155 (2022) - dataset 2,35960796,409.90,>500,
polyclonal 391370,CNE55,Barnes et al. Sci Adv 8:eabp8155 (2022) - dataset 2,35960796,399.10,>500,
polyclonal 391370,KER2008_12,Barnes et al. Sci Adv 8:eabp8155 (2022) - dataset 2,35960796,182.50,475.50,
polyclonal 391370,M02138,Barnes et al. Sci Adv 8:eabp8155 (2022) - dataset 2,35960796,105.40,427.70,
polyclonal 391370,Q259_17,Barnes et al. Sci Adv 8:eabp8155 (2022) - dataset 2,35960796,139.00,475.20,
polyclonal 391370,Q461_E2,Barnes et al. Sci Adv 8:eabp8155 (2022) - dataset 2,35960796,204.70,>500,
polyclonal 391370,TH976_17,Barnes et al. Sci Adv 8:eabp8155 (2022) - dataset 2,35960796,95.40,447.50,
polyclonal 391370,YU2,Barnes et al. Sci Adv 8:eabp8155 (2022) - dataset 2,35960796,57.50,161.60,
polyclonal 391370,ZM135_10A,Barnes et al. Sci Adv 8:eabp8155 (2022) - dataset 2,35960796,64.90,267.20,
polyclonal AIIMS_329 102mo,001428_2_42,Mishra et al. J Virol 13:93 (2019),31217240,,,465
polyclonal AIIMS_329 102mo,00836_2_5,Mishra et al. J Virol 13:93 (2019),31217240,,,231
polyclonal AIIMS_329 102mo,16055_2_3,Mishra et al. J Virol 13:93 (2019),31217240,,,659
polyclonal AIIMS_329 102mo,16936_2_21,Mishra et al. J Virol 13:93 (2019),31217240,,,156
polyclonal AIIMS_329 102mo,246_F3_C10_2,Mishra et al. J Virol 13:93 (2019),31217240,,,612
polyclonal AIIMS_329 102mo,25710_2_43,Mishra et al. J Virol 13:93 (2019),31217240,,,1246
polyclonal AIIMS_329 102mo,25711_2_4,Mishra et al. J Virol 13:93 (2019),31217240,,,1456
polyclonal AIIMS_329 102mo,25925_2_22,Mishra et al. J Virol 13:93 (2019),31217240,,,134
polyclonal AIIMS_329 102mo,398_F1_F6_20,Mishra et al. J Virol 13:93 (2019),31217240,,,146
polyclonal AIIMS_329 102mo,6535_3,Mishra et al. J Virol 13:93 (2019),31217240,,,942
polyclonal AIIMS_329 102mo,703010217_B6,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 102mo,BAL_01,Mishra et al. J Virol 13:93 (2019),31217240,,,816
polyclonal AIIMS_329 102mo,BG505_W6M_C2,Mishra et al. J Virol 13:93 (2019),31217240,,,213
polyclonal AIIMS_329 102mo,BJ613_E1,Mishra et al. J Virol 13:93 (2019),31217240,,,79
polyclonal AIIMS_329 102mo,BJOX002000_03_2,Mishra et al. J Virol 13:93 (2019),31217240,,,164
polyclonal AIIMS_329 102mo,CAAN5342,Mishra et al. J Virol 13:93 (2019),31217240,,,389
polyclonal AIIMS_329 102mo,CAP210_E8,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 102mo,CAP256_SU,Mishra et al. J Virol 13:93 (2019),31217240,,,256
polyclonal AIIMS_329 102mo,CAP45_G3,Mishra et al. J Virol 13:93 (2019),31217240,,,187
polyclonal AIIMS_329 102mo,CE1176_A3,Mishra et al. J Virol 13:93 (2019),31217240,,,549
polyclonal AIIMS_329 102mo,CH119_10,Mishra et al. J Virol 13:93 (2019),31217240,,,146
polyclonal AIIMS_329 102mo,CNE55,Mishra et al. J Virol 13:93 (2019),31217240,,,1364
polyclonal AIIMS_329 102mo,CNE8,Mishra et al. J Virol 13:93 (2019),31217240,,,498
polyclonal AIIMS_329 102mo,DU156_12,Mishra et al. J Virol 13:93 (2019),31217240,,,965
polyclonal AIIMS_329 102mo,DU172_17,Mishra et al. J Virol 13:93 (2019),31217240,,,566
polyclonal AIIMS_329 102mo,JRCSF,Mishra et al. J Virol 13:93 (2019),31217240,,,198
polyclonal AIIMS_329 102mo,JRFL,Mishra et al. J Virol 13:93 (2019),31217240,,,187
polyclonal AIIMS_329 102mo,PVO_4,Mishra et al. J Virol 13:93 (2019),31217240,,,95
polyclonal AIIMS_329 102mo,Q168_A2,Mishra et al. J Virol 13:93 (2019),31217240,,,136
polyclonal AIIMS_329 102mo,QH0692_42,Mishra et al. J Virol 13:93 (2019),31217240,,,289
polyclonal AIIMS_329 102mo,RHPA4259_7,Mishra et al. J Virol 13:93 (2019),31217240,,,156
polyclonal AIIMS_329 102mo,SC422_8,Mishra et al. J Virol 13:93 (2019),31217240,,,445
polyclonal AIIMS_329 102mo,SF162,Mishra et al. J Virol 13:93 (2019),31217240,,,1771
polyclonal AIIMS_329 102mo,THRO4156,Mishra et al. J Virol 13:93 (2019),31217240,,,82
polyclonal AIIMS_329 102mo,TRJO4551_58,Mishra et al. J Virol 13:93 (2019),31217240,,,74
polyclonal AIIMS_329 102mo,TRO_11,Mishra et al. J Virol 13:93 (2019),31217240,,,463
polyclonal AIIMS_329 102mo,X1632_S2_B10,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 102mo,X2278_C2_B6,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 102mo,ZM109_32,Mishra et al. J Virol 13:93 (2019),31217240,,,278
polyclonal AIIMS_329 102mo,ZM197_7,Mishra et al. J Virol 13:93 (2019),31217240,,,167
polyclonal AIIMS_329 102mo,ZM214_15,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 102mo,ZM249_1,Mishra et al. J Virol 13:93 (2019),31217240,,,245
polyclonal AIIMS_329 102mo,ZM53_12,Mishra et al. J Virol 13:93 (2019),31217240,,,223
polyclonal AIIMS_329 112mo,001428_2_42,Mishra et al. J Virol 13:93 (2019),31217240,,,325
polyclonal AIIMS_329 112mo,00836_2_5,Mishra et al. J Virol 13:93 (2019),31217240,,,112
polyclonal AIIMS_329 112mo,16055_2_3,Mishra et al. J Virol 13:93 (2019),31217240,,,284
polyclonal AIIMS_329 112mo,16936_2_21,Mishra et al. J Virol 13:93 (2019),31217240,,,199
polyclonal AIIMS_329 112mo,246_F3_C10_2,Mishra et al. J Virol 13:93 (2019),31217240,,,514
polyclonal AIIMS_329 112mo,25710_2_43,Mishra et al. J Virol 13:93 (2019),31217240,,,324
polyclonal AIIMS_329 112mo,25711_2_4,Mishra et al. J Virol 13:93 (2019),31217240,,,567
polyclonal AIIMS_329 112mo,25925_2_22,Mishra et al. J Virol 13:93 (2019),31217240,,,334
polyclonal AIIMS_329 112mo,329_15_A1,Mishra et al. J Virol 13:93 (2019),31217240,,,149
polyclonal AIIMS_329 112mo,329_15_B1,Mishra et al. J Virol 13:93 (2019),31217240,,,135
polyclonal AIIMS_329 112mo,398_F1_F6_20,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 112mo,6535_3,Mishra et al. J Virol 13:93 (2019),31217240,,,587
polyclonal AIIMS_329 112mo,703010217_B6,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 112mo,BAL_01,Mishra et al. J Virol 13:93 (2019),31217240,,,742
polyclonal AIIMS_329 112mo,BG505_W6M_C2,Mishra et al. J Virol 13:93 (2019),31217240,,,249
polyclonal AIIMS_329 112mo,BJ613_E1,Mishra et al. J Virol 13:93 (2019),31217240,,,97
polyclonal AIIMS_329 112mo,BJOX002000_03_2,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 112mo,CAAN5342,Mishra et al. J Virol 13:93 (2019),31217240,,,212
