Antibody,Virus,Reference,Pubmed ID,IC50,IC80,ID50
polyclonal AIIMS_329 112mo,CAP210_E8,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 112mo,CAP256_SU,Mishra et al. J Virol 13:93 (2019),31217240,,,367
polyclonal AIIMS_329 112mo,CAP45_G3,Mishra et al. J Virol 13:93 (2019),31217240,,,126
polyclonal AIIMS_329 112mo,CE1176_A3,Mishra et al. J Virol 13:93 (2019),31217240,,,143
polyclonal AIIMS_329 112mo,CH119_10,Mishra et al. J Virol 13:93 (2019),31217240,,,92
polyclonal AIIMS_329 112mo,CNE55,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 112mo,CNE8,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 112mo,DU156_12,Mishra et al. J Virol 13:93 (2019),31217240,,,748
polyclonal AIIMS_329 112mo,DU172_17,Mishra et al. J Virol 13:93 (2019),31217240,,,612
polyclonal AIIMS_329 112mo,JRCSF,Mishra et al. J Virol 13:93 (2019),31217240,,,224
polyclonal AIIMS_329 112mo,JRFL,Mishra et al. J Virol 13:93 (2019),31217240,,,156
polyclonal AIIMS_329 112mo,PVO_4,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 112mo,Q168_A2,Mishra et al. J Virol 13:93 (2019),31217240,,,159
polyclonal AIIMS_329 112mo,QH0692_42,Mishra et al. J Virol 13:93 (2019),31217240,,,112
polyclonal AIIMS_329 112mo,RHPA4259_7,Mishra et al. J Virol 13:93 (2019),31217240,,,141
polyclonal AIIMS_329 112mo,SC422_8,Mishra et al. J Virol 13:93 (2019),31217240,,,326
polyclonal AIIMS_329 112mo,SF162,Mishra et al. J Virol 13:93 (2019),31217240,,,873
polyclonal AIIMS_329 112mo,THRO4156,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 112mo,TRJO4551_58,Mishra et al. J Virol 13:93 (2019),31217240,,,71
polyclonal AIIMS_329 112mo,TRO_11,Mishra et al. J Virol 13:93 (2019),31217240,,,124
polyclonal AIIMS_329 112mo,X1632_S2_B10,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 112mo,X2278_C2_B6,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 112mo,ZM109_32,Mishra et al. J Virol 13:93 (2019),31217240,,,214
polyclonal AIIMS_329 112mo,ZM197_7,Mishra et al. J Virol 13:93 (2019),31217240,,,349
polyclonal AIIMS_329 112mo,ZM214_15,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 112mo,ZM249_1,Mishra et al. J Virol 13:93 (2019),31217240,,,365
polyclonal AIIMS_329 112mo,ZM53_12,Mishra et al. J Virol 13:93 (2019),31217240,,,214
polyclonal AIIMS_329 117mo,001428_2_42,Mishra et al. J Virol 13:93 (2019),31217240,,,242
polyclonal AIIMS_329 117mo,00836_2_5,Mishra et al. J Virol 13:93 (2019),31217240,,,72
polyclonal AIIMS_329 117mo,16055_2_3,Mishra et al. J Virol 13:93 (2019),31217240,,,124
polyclonal AIIMS_329 117mo,16936_2_21,Mishra et al. J Virol 13:93 (2019),31217240,,,114
polyclonal AIIMS_329 117mo,246_F3_C10_2,Mishra et al. J Virol 13:93 (2019),31217240,,,451
polyclonal AIIMS_329 117mo,25710_2_43,Mishra et al. J Virol 13:93 (2019),31217240,,,264
polyclonal AIIMS_329 117mo,25711_2_4,Mishra et al. J Virol 13:93 (2019),31217240,,,129
polyclonal AIIMS_329 117mo,25925_2_22,Mishra et al. J Virol 13:93 (2019),31217240,,,128
polyclonal AIIMS_329 117mo,329_16_C1,Mishra et al. J Virol 13:93 (2019),31217240,,,<100
polyclonal AIIMS_329 117mo,329_16_D5,Mishra et al. J Virol 13:93 (2019),31217240,,,<100
polyclonal AIIMS_329 117mo,398_F1_F6_20,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 117mo,6535_3,Mishra et al. J Virol 13:93 (2019),31217240,,,594
polyclonal AIIMS_329 117mo,703010217_B6,Mishra et al. J Virol 13:93 (2019),31217240,,,94
polyclonal AIIMS_329 117mo,BAL_01,Mishra et al. J Virol 13:93 (2019),31217240,,,1042
polyclonal AIIMS_329 117mo,BG505_W6M_C2,Mishra et al. J Virol 13:93 (2019),31217240,,,142
polyclonal AIIMS_329 117mo,BJ613_E1,Mishra et al. J Virol 13:93 (2019),31217240,,,108
polyclonal AIIMS_329 117mo,BJOX002000_03_2,Mishra et al. J Virol 13:93 (2019),31217240,,,146
polyclonal AIIMS_329 117mo,CAAN5342,Mishra et al. J Virol 13:93 (2019),31217240,,,168
polyclonal AIIMS_329 117mo,CAP210_E8,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 117mo,CAP256_SU,Mishra et al. J Virol 13:93 (2019),31217240,,,357
polyclonal AIIMS_329 117mo,CAP45_G3,Mishra et al. J Virol 13:93 (2019),31217240,,,326
polyclonal AIIMS_329 117mo,CE1176_A3,Mishra et al. J Virol 13:93 (2019),31217240,,,123
polyclonal AIIMS_329 117mo,CH119_10,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 117mo,CNE55,Mishra et al. J Virol 13:93 (2019),31217240,,,87
polyclonal AIIMS_329 117mo,CNE8,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 117mo,DU156_12,Mishra et al. J Virol 13:93 (2019),31217240,,,256
polyclonal AIIMS_329 117mo,DU172_17,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 117mo,JRCSF,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 117mo,JRFL,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 117mo,PVO_4,Mishra et al. J Virol 13:93 (2019),31217240,,,112
polyclonal AIIMS_329 117mo,Q168_A2,Mishra et al. J Virol 13:93 (2019),31217240,,,212
polyclonal AIIMS_329 117mo,QH0692_42,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 117mo,RHPA4259_7,Mishra et al. J Virol 13:93 (2019),31217240,,,212
polyclonal AIIMS_329 117mo,SC422_8,Mishra et al. J Virol 13:93 (2019),31217240,,,169
polyclonal AIIMS_329 117mo,SF162,Mishra et al. J Virol 13:93 (2019),31217240,,,2169
polyclonal AIIMS_329 117mo,THRO4156,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 117mo,TRJO4551_58,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 117mo,TRO_11,Mishra et al. J Virol 13:93 (2019),31217240,,,81
polyclonal AIIMS_329 117mo,X1632_S2_B10,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 117mo,X2278_C2_B6,Mishra et al. J Virol 13:93 (2019),31217240,,,78
polyclonal AIIMS_329 117mo,ZM109_32,Mishra et al. J Virol 13:93 (2019),31217240,,,124
polyclonal AIIMS_329 117mo,ZM197_7,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 117mo,ZM214_15,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 117mo,ZM249_1,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 117mo,ZM53_12,Mishra et al. J Virol 13:93 (2019),31217240,,,594
polyclonal AIIMS_329 124mo,001428_2_42,Mishra et al. J Virol 13:93 (2019),31217240,,,67
polyclonal AIIMS_329 124mo,00836_2_5,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 124mo,16055_2_3,Mishra et al. J Virol 13:93 (2019),31217240,,,112
polyclonal AIIMS_329 124mo,16936_2_21,Mishra et al. J Virol 13:93 (2019),31217240,,,142
polyclonal AIIMS_329 124mo,246_F3_C10_2,Mishra et al. J Virol 13:93 (2019),31217240,,,542
polyclonal AIIMS_329 124mo,25710_2_43,Mishra et al. J Virol 13:93 (2019),31217240,,,489
polyclonal AIIMS_329 124mo,25711_2_4,Mishra et al. J Virol 13:93 (2019),31217240,,,316
polyclonal AIIMS_329 124mo,25925_2_22,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 124mo,398_F1_F6_20,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 124mo,6535_3,Mishra et al. J Virol 13:93 (2019),31217240,,,324
polyclonal AIIMS_329 124mo,703010217_B6,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 124mo,BAL_01,Mishra et al. J Virol 13:93 (2019),31217240,,,2168
polyclonal AIIMS_329 124mo,BG505_W6M_C2,Mishra et al. J Virol 13:93 (2019),31217240,,,89
polyclonal AIIMS_329 124mo,BJ613_E1,Mishra et al. J Virol 13:93 (2019),31217240,,,101
polyclonal AIIMS_329 124mo,BJOX002000_03_2,Mishra et al. J Virol 13:93 (2019),31217240,,,324
polyclonal AIIMS_329 124mo,CAAN5342,Mishra et al. J Virol 13:93 (2019),31217240,,,157
polyclonal AIIMS_329 124mo,CAP210_E8,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 124mo,CAP256_SU,Mishra et al. J Virol 13:93 (2019),31217240,,,214
polyclonal AIIMS_329 124mo,CAP45_G3,Mishra et al. J Virol 13:93 (2019),31217240,,,468
polyclonal AIIMS_329 124mo,CE1176_A3,Mishra et al. J Virol 13:93 (2019),31217240,,,157
polyclonal AIIMS_329 124mo,CH119_10,Mishra et al. J Virol 13:93 (2019),31217240,,,81
polyclonal AIIMS_329 124mo,CNE55,Mishra et al. J Virol 13:93 (2019),31217240,,,78
polyclonal AIIMS_329 124mo,CNE8,Mishra et al. J Virol 13:93 (2019),31217240,,,71
polyclonal AIIMS_329 124mo,DU156_12,Mishra et al. J Virol 13:93 (2019),31217240,,,163
polyclonal AIIMS_329 124mo,DU172_17,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 124mo,JRCSF,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 124mo,JRFL,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 124mo,PVO_4,Mishra et al. J Virol 13:93 (2019),31217240,,,73
polyclonal AIIMS_329 124mo,Q168_A2,Mishra et al. J Virol 13:93 (2019),31217240,,,102
polyclonal AIIMS_329 124mo,QH0692_42,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 124mo,RHPA4259_7,Mishra et al. J Virol 13:93 (2019),31217240,,,219
polyclonal AIIMS_329 124mo,SC422_8,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 124mo,SF162,Mishra et al. J Virol 13:93 (2019),31217240,,,7762
polyclonal AIIMS_329 124mo,THRO4156,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 124mo,TRJO4551_58,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 124mo,TRO_11,Mishra et al. J Virol 13:93 (2019),31217240,,,138
polyclonal AIIMS_329 124mo,X1632_S2_B10,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 124mo,X2278_C2_B6,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 124mo,ZM109_32,Mishra et al. J Virol 13:93 (2019),31217240,,,71
polyclonal AIIMS_329 124mo,ZM197_7,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 124mo,ZM214_15,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 124mo,ZM249_1,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 124mo,ZM53_12,Mishra et al. J Virol 13:93 (2019),31217240,,,645
polyclonal AIIMS_329 131mo,001428_2_42,Mishra et al. J Virol 13:93 (2019),31217240,,,69
polyclonal AIIMS_329 131mo,00836_2_5,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 131mo,16055_2_3,Mishra et al. J Virol 13:93 (2019),31217240,,,101
polyclonal AIIMS_329 131mo,16936_2_21,Mishra et al. J Virol 13:93 (2019),31217240,,,124
polyclonal AIIMS_329 131mo,246_F3_C10_2,Mishra et al. J Virol 13:93 (2019),31217240,,,254
polyclonal AIIMS_329 131mo,25710_2_43,Mishra et al. J Virol 13:93 (2019),31217240,,,549
polyclonal AIIMS_329 131mo,25711_2_4,Mishra et al. J Virol 13:93 (2019),31217240,,,524
polyclonal AIIMS_329 131mo,25925_2_22,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 131mo,398_F1_F6_20,Mishra et al. J Virol 13:93 (2019),31217240,,,89
polyclonal AIIMS_329 131mo,6535_3,Mishra et al. J Virol 13:93 (2019),31217240,,,316
polyclonal AIIMS_329 131mo,703010217_B6,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 131mo,BAL_01,Mishra et al. J Virol 13:93 (2019),31217240,,,657
polyclonal AIIMS_329 131mo,BG505_W6M_C2,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 131mo,BJ613_E1,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 131mo,BJOX002000_03_2,Mishra et al. J Virol 13:93 (2019),31217240,,,212
polyclonal AIIMS_329 131mo,CAAN5342,Mishra et al. J Virol 13:93 (2019),31217240,,,55
polyclonal AIIMS_329 131mo,CAP210_E8,Mishra et al. J Virol 13:93 (2019),31217240,,,68
polyclonal AIIMS_329 131mo,CAP256_SU,Mishra et al. J Virol 13:93 (2019),31217240,,,147
polyclonal AIIMS_329 131mo,CAP45_G3,Mishra et al. J Virol 13:93 (2019),31217240,,,167
polyclonal AIIMS_329 131mo,CE1176_A3,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 131mo,CH119_10,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 131mo,CNE55,Mishra et al. J Virol 13:93 (2019),31217240,,,83
polyclonal AIIMS_329 131mo,CNE8,Mishra et al. J Virol 13:93 (2019),31217240,,,55
polyclonal AIIMS_329 131mo,DU156_12,Mishra et al. J Virol 13:93 (2019),31217240,,,89
polyclonal AIIMS_329 131mo,DU172_17,Mishra et al. J Virol 13:93 (2019),31217240,,,77
polyclonal AIIMS_329 131mo,JRCSF,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 131mo,JRFL,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 131mo,PVO_4,Mishra et al. J Virol 13:93 (2019),31217240,,,164
polyclonal AIIMS_329 131mo,Q168_A2,Mishra et al. J Virol 13:93 (2019),31217240,,,91
polyclonal AIIMS_329 131mo,QH0692_42,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 131mo,RHPA4259_7,Mishra et al. J Virol 13:93 (2019),31217240,,,102
polyclonal AIIMS_329 131mo,SC422_8,Mishra et al. J Virol 13:93 (2019),31217240,,,71
polyclonal AIIMS_329 131mo,SF162,Mishra et al. J Virol 13:93 (2019),31217240,,,1542
polyclonal AIIMS_329 131mo,THRO4156,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 131mo,TRJO4551_58,Mishra et al. J Virol 13:93 (2019),31217240,,,81
polyclonal AIIMS_329 131mo,TRO_11,Mishra et al. J Virol 13:93 (2019),31217240,,,91
polyclonal AIIMS_329 131mo,X1632_S2_B10,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 131mo,X2278_C2_B6,Mishra et al. J Virol 13:93 (2019),31217240,,,94
polyclonal AIIMS_329 131mo,ZM109_32,Mishra et al. J Virol 13:93 (2019),31217240,,,62
polyclonal AIIMS_329 131mo,ZM197_7,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 131mo,ZM214_15,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 131mo,ZM249_1,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 131mo,ZM53_12,Mishra et al. J Virol 13:93 (2019),31217240,,,353
polyclonal AIIMS_329 138mo,001428_2_42,Mishra et al. J Virol 13:93 (2019),31217240,,,129
polyclonal AIIMS_329 138mo,00836_2_5,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 138mo,16055_2_3,Mishra et al. J Virol 13:93 (2019),31217240,,,68
polyclonal AIIMS_329 138mo,16936_2_21,Mishra et al. J Virol 13:93 (2019),31217240,,,112
polyclonal AIIMS_329 138mo,246_F3_C10_2,Mishra et al. J Virol 13:93 (2019),31217240,,,214
polyclonal AIIMS_329 138mo,25710_2_43,Mishra et al. J Virol 13:93 (2019),31217240,,,748
polyclonal AIIMS_329 138mo,25711_2_4,Mishra et al. J Virol 13:93 (2019),31217240,,,724
polyclonal AIIMS_329 138mo,25925_2_22,Mishra et al. J Virol 13:93 (2019),31217240,,,156
polyclonal AIIMS_329 138mo,398_F1_F6_20,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 138mo,6535_3,Mishra et al. J Virol 13:93 (2019),31217240,,,424
polyclonal AIIMS_329 138mo,703010217_B6,Mishra et al. J Virol 13:93 (2019),31217240,,,84
polyclonal AIIMS_329 138mo,BAL_01,Mishra et al. J Virol 13:93 (2019),31217240,,,1954
polyclonal AIIMS_329 138mo,BG505_W6M_C2,Mishra et al. J Virol 13:93 (2019),31217240,,,224
polyclonal AIIMS_329 138mo,BJ613_E1,Mishra et al. J Virol 13:93 (2019),31217240,,,<50
polyclonal AIIMS_329 138mo,BJOX002000_03_2,Mishra et al. J Virol 13:93 (2019),31217240,,,346
polyclonal AIIMS_329 138mo,CAAN5342,Mishra et al. J Virol 13:93 (2019),31217240,,,107
polyclonal AIIMS_329 138mo,CAP210_E8,Mishra et al. J Virol 13:93 (2019),31217240,,,59
polyclonal AIIMS_329 138mo,CAP256_SU,Mishra et al. J Virol 13:93 (2019),31217240,,,324
polyclonal AIIMS_329 138mo,CAP45_G3,Mishra et al. J Virol 13:93 (2019),31217240,,,632
polyclonal AIIMS_329 138mo,CE1176_A3,Mishra et al. J Virol 13:93 (2019),31217240,,,93
polyclonal AIIMS_329 138mo,CH119_10,Mishra et al. J Virol 13:93 (2019),31217240,,,73
